Nectar Plant Species,0-10m,10-20m,20-30m,30-40m,40-50m,50-60m,60-70m
common milkweed ramet,5,5,6,27,6,12,30
swamp milkweed ramet,0,0,0,0,0,0,0
butterfly milkweed ramet,0,0,0,0,0,0,0
golden alexanders,3,0,2,0,1,0,5
foxglove beardtongue,0,6,29,15,12,9,0
