"Start Time",10:47AM
"Bee Species","Nectar Plant Species",0-10m,10-20m,20-30m,30-40m,40-50m
"bumble bee","purple prairie clover",1,0,8,0,0
"bumble bee","wild bergamot",1,1,0,0,1
"solitary bee","wild bergamot",3,1,0,0,0
"solitary bee","ox eye sunflower",1,0,0,0,1
"solitary bee","yellow coneflower",0,3,1,1,1
"solitary bee","brown eyed susan",0,0,1,1,0
