"Nectar Plant Species",0-10m,10-20m,20-30m,30-40m,40-50m,50-60m,60-70m
"common milkweed ramet",1,0,0,0,4,0,1
"swamp milkweed ramet",0,1,0,0,0,0,0
"butterfly milkweed ramet",0,0,0,0,0,0,0
"white clover",20,350,35,110,25,0,39
"foxglove fleabane",410,30,70,20,0,0,200
"red clover",12,5,0,1,5,0,15
"pale purple coneflower",0,0,0,2,0,0,0
"wild mustard",10,0,0,0,0,0,0
"eastern daisy fleabane",0,2,0,10,8,0,0
"silver cinquefoil",0,0,0,0,0,2,5
