"Nectar Plant Species",0-20m,20-40m,40-50m
"wild bergamot",3,0,56
"wild parsnip",5,0,1
"canada thistle",0,0,5
"brown eyed susan",4,15,0
"purple prairie clover",2,40,0
"ox eye sunflower",58,34,0
