"wind",calm
"sky",mostly_cloudy
"temp",75
"start_time",9:23AM
"end_time",9:33AM
"extra_monarch",0
"0-10m",0
"10-20m",0
"20-30m",0
"30-40m",0
"40-50m",0
"watch_monarch",0
"stems",0
