Nectar Plant Species,0-10m,10-20m,20-30m,30-40m,40-50m,50-60m,60-70m,70-80m,80-90m,90-100m
common milkweed ramet,7,3,1,0,3,0,0,0,NA,NA
swamp milkweed ramet,0,0,0,0,0,0,0,0,NA,NA
butterfly milkweed ramet,0,0,0,0,0,0,0,0,NA,NA
yellow coneflower,100,80,75,350,140,460,80,270,NA,NA
ox eye sunflower,150,50,40,80,0,30,15,0,NA,NA
wild bergamot,60,110,90,50,10,20,0,15,NA,NA
red clover,5,0,10,0,0,0,0,0,NA,NA
alfalfa,0,0,0,30,0,0,0,0,NA,NA
canada thistle,0,0,0,0,0,0,5,0,NA,NA
prickly lettuce,0,0,0,0,0,0,0,80,NA,NA
