Nectar Plant Species,0-10m,10-20m,20-30m,30-40m,40-50m
common milkweed ramet,20,10,26,3,18
swamp milkweed ramet,0,0,0,0,0
butterfly milkweed ramet,0,0,0,0,0
black medic,0,14,0,0,0
foxglove beardtongue,0,3,0,2,1
red clover,2,8,0,1,3
wild parsnip,9,6,4,0,11
yellow sweet clover,5,0,0,0,0
