"Nectar Plant Species",0-10m,10-20m,20-30m,30-40m,40-50m,50-60m
"common milkweed ramet",0,0,0,0,0,0
"swamp milkweed ramet",0,0,0,0,0,0
"butterfly milkweed ramet",0,0,0,0,0,0
"red clover",55,44,44,60,50,27
"birdsfoot trefoil",10,0,0,0,0,0
"queen annes lace",82,124,56,100,73,135
"ox eye sunflower",2,5,3,3,2,1
"uellow coneflower",0,22,27,30,1,8
"eastern daisy fleabane",6,1,0,25,11,12
"black eyed susan",0,3,0,3,0,8
"white sweet clover",0,10,140,0,0,0
"yellow sweet clover",0,0,0,1,1,1
