"Nectar Plant Species",0-10m,10-20m,20-30m,30-40m,40-50m,50-60m,60-70m,70-80m
"common milkweed ramet",0,0,0,0,0,0,0,0
"swamp milkweed ramet",0,0,0,0,0,0,0,0
"butterfly milkweed ramet",0,0,0,0,0,0,0,0
"golden alexanders",0,1,2,0,0,0,0,0
"foxglove beardtongue",0,0,0,35,0,25,0,0
"white clover",0,0,0,300,650,0,0,0
"common cinquefoil",0,0,0,40,0,1,2,0
"black medic",0,0,0,25,190,0,0,0
