"Nectar Plant Species",0-10m,10-20m,20-30m,30-40m,40-50m
"common milkweed ramet",0,0,1,2,0
"swamp milkweed ramet",0,0,0,0,3
"butterfly milkweed ramet",0,0,0,0,0
"yellow coneflower",70,165,95,65,180
"ox eye sunflower",40,30,25,15,50
"great blue lobelia",2,0,0,0,0
"ironweed",1,0,2,0,0
"blue vervain",60,115,55,0,20
"virginia mountain mint",45,0,0,0,0
"canada goldenrod",0,0,2,0,0
"wild bergamot",0,20,25,15,45
