"Nectar Plant Species",0-10m,10-20m,20-30m,30-40m,40-50m,50-60m,60-70m,70-80m
"common milkweed ramet",0,0,7,0,0,0,1,1
"swamp milkweed ramet",0,0,0,0,0,0,0,0
"butterfly milkweed ramet",0,0,0,0,0,0,0,0
"yellow coneflower",520,530,225,515,320,225,365,380
"ox eye sunflower",75,30,40,15,45,55,75,120
"canada thistle",0,0,0,0,10,0,1,2
