"Nectar Plant Species",0-10m,10-20m,20-30m,30-40m,40-50m,50-60m,60-70m,70-80m,80-90m,90-100m
"common milkweed ramet",0,0,0,0,0,0,0,0,0,0
"swamp milkweed ramet",0,0,0,0,0,0,0,0,0,0
"butterfly milkweed ramet",0,0,0,0,0,0,0,0,0,0
"white clover",139,102,86,117,105,112,60,150,109,34
"yellow wood sorrel",2,5,2,0,0,0,0,0,0,0
"groundcherry",1,0,0,0,0,0,0,0,0,0
"eastern daisy fleabane",3,8,47,0,3,1,0,0,0,6
"red clover",1,0,5,0,0,0,0,0,0,1
"queen annes lace",0,1,0,0,2,0,0,0,1,0
"common mullein",0,0,1,0,0,0,0,0,0,0
"black medic",0,0,0,41,27,1,0,1,6,0
"pennsylvania smartweed",0,0,0,0,13,0,0,0,0,0
"pineapple weed",0,0,0,0,0,0,2,0,0,0
