"section",csg,wsg,forbs,milkweed,woody_species,bare_ground,leaf_litter,litter_depth
"0m",38,0,3,0,0,38,16,<.5
"10m",38,0,16,0,0,16,38,<.5
"20m",63,0,16,0,0,3,86,<.5
"30m",16,0,16,0,0,16,86,1
"40m",63,0,16,0,0,16,86,<.5
"50m",38,0,16,0,0,3,98,.5
"60m",38,0,38,0,0,16,86,<.5
