Nectar Plant Species,0-10m,10-20m,20-30m,30-40m,40-50m,50-60m,60-70m
common milkweed ramet,0,0,0,1,16,24,14
swamp milkweed ramet,0,0,0,0,0,0,0
butterfly milkweed ramet,0,0,0,0,0,0,0
catnip,0,0,0,0,0,4,0
new england aster,0,0,0,0,2,0,0
ox eye sunflower,8,5,8,11,17,8,22
sawtooth sunflower,0,0,0,0,3,0,1
showy tick trefoil,0,0,0,0,5,0,0
wild bergamot,0,0,2,4,3,13,0
yellow coneflower,22,10,20,13,29,8,23
yellow sweet clover,2,0,0,0,0,0,0
