Nectar Plant Species,0-10m,10-20m,20-30m,30-40m,40-50m,50-60m
common milkweed ramet,0,0,0,0,0,0
swamp milkweed ramet,0,0,0,0,0,0
butterfly milkweed ramet,0,0,0,0,0,0
wild bergamot,0,0,0,0,5,0
yellow coneflower,13,14,15,16,16,0
ox eye sunflower,0,1,0,1,19,4
birdsfoot trefoil,171,0,0,0,0,0
queen annes lace,0,32,10,28,15,4
red clover,0,12,4,2,4,2
white sweet clover,0,13,0,0,2,0
purple prairie clover,0,0,0,11,0,0
yellow sweet clover,0,0,0,0,1,0
