"section",csg,wsg,forbs,milkweed,common_ramet,swamp_ramet,butterfly_ramet,woody_species,bare_ground,leaf_litter,litter_depth
"0m",3,0,86,0,0,0,0,0,3,86,.5
"10m",16,0,86,0,0,0,0,0,63,38,.5
"20m",38,0,63,0,0,0,0,0,63,38,.50
"30m",16,0,63,0,0,0,0,16,63,38,.5
"40m",38,0,63,0,0,0,0,0,38,63,.50
"50m",38,0,63,0,0,0,0,0,38,63,.50
"60m",16,0,86,0,0,0,0,0,63,38,1.0
"70m",63,0,63,0,0,0,0,0,16,86,.50
"80m",86,0,38,0,0,0,0,0,63,38,.25
"90m",86,0,16,0,0,0,0,0,38,63,2.0
