"Nectar Plant Species",0-10m,10-20m,20-30m,30-40m,40-50m,50-60m,60-70m,70-80m
"common milkweed ramet",3,0,0,0,0,0,1,5
"swamp milkweed ramet",0,0,0,0,0,0,0,0
"butterfly milkweed ramet",0,0,0,0,1,0,0,3
"red clover",500,600,400,250,200,200,80,50
"black eyed susan",2,17,20,36,48,18,3,8
"yellow sweet clover",3,28,0,0,0,0,0,0
"black medic",0,90,0,0,0,0,0,0
"eastern daisy fleabane",0,1,9,4,0,0,6,4
"queen annes lace",0,0,1,155,70,6,2,1
"carolina horsenettle",0,0,0,0,0,0,0,1
