"Nectar Plant Species",0-10m,10-20m,20-30m,30-40m,40-50m,50-60m,60-70m
"common milkweed ramet",0,0,0,0,2,2,0
"swamp milkweed ramet",0,0,0,0,0,0,0
"butterfly milkweed ramet",0,0,0,0,0,0,0
"yellow coneflower",70,30,30,20,10,12,0
"wild bergamot",87,22,80,10,40,60,20
"ox eye sunflower",40,12,20,10,0,10,20
"blue vervain",1,0,0,0,0,0,0
"common cinquefoil",23,0,0,0,40,35,20
"white clover",5,200,70,100,20,0,0
"red clover",12,15,5,0,10,20,0
"winged loosestrife",0,10,0,0,0,0,0
