"Nectar Plant Species",0-10m,10-20m,20-30m,30-40m,40-50m,50-60m,60-70m,70-80m
"common milkweed ramet",0,0,0,0,0,0,0,0
"swamp milkweed ramet",0,0,0,0,0,0,0,0
"butterfly milkweed ramet",0,0,0,0,0,0,0,0
"yellow coneflower",32,31,14,65,75,4,28,17
"ox eye sunflower",0,5,25,48,7,10,0,26
"hoary vervain",0,5,0,7,2,0,2,3
"ironweed",0,0,0,0,0,2,0,2
