"section",csg,wsg,forbs,milkweed,woody_species,bare_ground,leaf_litter,litter_depth
"0m",38,0,38,0,0,3,98,1
"10m",16,0,16,0,0,63,3,.25
"20m",16,38,16,0,0,38,0,0
"30m",38,16,16,0,0,38,38,1
"40m",0,16,1,0,0,98,0,0
