Nectar Plant Species,0-10m,10-20m,20-30m,30-40m,40-50m,50-60m,60-70m,70-80m,80-90m,90-100m
common milkweed ramet,0,0,0,0,0,0,0,0,0,0
swamp milkweed ramet,0,0,0,0,0,0,0,0,0,0
butterfly milkweed ramet,0,0,0,0,0,0,0,0,0,0
yellow coneflower,14,52,40,33,47,47,100,32,45,46
wild bergamot,7,112,47,203,31,42,48,9,39,7
canada thistle,4,8,10,21,40,8,0,0,0,0
hoary vervain,3,0,0,0,8,17,9,16,14,0
yellow wood sorrel,0,2,0,0,0,0,0,0,0,0
prairie cinquefoil,0,4,0,28,9,0,8,0,2,0
virginia mountain mint,0,4,0,1,0,4,0,0,0,0
queen annes lace,0,0,0,0,1,0,0,0,0,0
purple prairie clover,0,0,0,0,8,100,46,6,43,48
ox eye sunflower,0,0,0,0,0,6,6,2,2,2
white prairie clover,0,0,0,0,0,22,0,5,1,3
black eyed susan,0,0,0,0,0,0,1,0,0,0
common dandelion,0,0,0,0,0,0,0,1,0,0
yellow sweet clover,0,0,0,0,0,0,0,0,110,0
sawtooth sunflower,0,0,0,0,0,0,0,0,1,0
pale purple coneflower,0,0,0,0,0,0,0,0,0,1
