"section",csg,wsg,forbs,milkweed,woody_species,bare_ground,leaf_litter,litter_depth
"0m",86,0,38,0,0,16,86,1
"10m",86,0,38,0,0,3,86,2
"20m",98,0,1,0,0,3,86,3
"30m",63,38,3,0,0,3,86,1
"40m",38,63,3,0,0,1,86,1
"50m",63,63,16,0,0,1,63,1
"60m",38,16,38,0,0,1,86,.5
