“Nectar Plant Species”,0-10m,10-20m,20-30m,30-40m,40-50m
“common milkweed ramet”,0,0,0,0,0
“swamp milkweed ramet”,0,0,0,0,0
“butterfly milkweed ramet”,0,0,0,0,0
"morning glory",89,375,980,560,280
"smartweed",63,8,4,18,70
"red clover",7,7,6,2,23
"black eyed susan",1,0,3,0,0
"shepherds purse",0,2,0,0,0
"partridge pea",0,0,0,1,3
