"Nectar Plant Species",0-10m,10-20m,20-30m,30-40m,40-50m,50-60m,60-70m,70-80m
"common milkweed ramet",0,0,0,0,0,0,0,0
"swamp milkweed ramet",0,0,0,0,0,0,0,0
"butterfly milkweed ramet",0,0,0,0,0,0,0,0
"eastern daisy fleabane",3,4,0,2,5,5,4,17
"black medic",8,6,0,0,0,32,0,0
"yellow wood sorrel",0,1,1,1,0,0,0,1
"black eyed susan",0,0,0,3,0,0,0,0
"red clover",0,0,0,0,2,4,3,0
"partridge pea",0,0,0,0,1,0,1,4
