"Nectar Plant Species",0-10m,10-20m,20-30m,30-40m,40-50m,50-60m,60-70m,70-80m,80-90m,90-100m
"common milkweed ramet",0,0,0,0,0,0,0,0,0,0
"swamp milkweed ramet",0,0,0,0,0,0,0,0,0,0
"butterfly milkweed ramet",0,0,0,0,0,0,0,0,0,0
"eastern daisy fleabane",155,180,260,220,150,80,70,110,130,130
"queen annes lace",120,5,5,25,110,430,130,160,170,150
"red clover",140,20,70,180,50,160,200,100,140,13
"black eyed susan",12,0,40,10,37,4,60,20,45,20
"yellow coneflower",3,10,0,0,0,0,0,0,5,10
"common yarrow",10,0,0,0,0,0,0,0,0,0
"deptford pink",10,0,0,15,43,5,0,0,0,17
"ox eye sunflower",1,0,1,1,2,0,0,5,1,7
"wild bergamot",0,0,2,0,3,0,0,0,0,0
"yellow sweet clover",0,0,2,1,0,11,7,13,0,2
"common cinquefoil",0,0,0,0,2,0,0,0,0,0
"wild parsnip",0,0,0,0,0,5,0,0,0,0
