"Nectar Plant Species",0-10m,10-20m,20-30m,30-40m,40-50m,50-60m,60-70m
"common milkweed ramet",0,0,1,0,0,3,2
"swamp milkweed ramet",0,0,0,0,0,0,0
"butterfly milkweed ramet",0,0,0,0,0,0,0
"marestail",150,170,110,150,160,21,5
"yellow coneflower",23,30,40,40,35,0,3
"ox eye sunflower",21,8,30,40,0,5,10
"red clover",5,5,5,10,10,70,5
"prickly lettuce",5,0,0,5,0,0,0
"white clover",0,0,0,5,0,0,0
"common cinquefoil",0,0,0,0,20,14,17
"tall boneset",0,0,0,0,0,3,0
