"section",csg,wsg,forbs,milkweed,woody_species,bare_ground,leaf_litter,litter_depth
"0m",98,0,1,0,0,0,63,.5
"10m",86,0,1,0,0,3,63,.5
"20m",86,0,16,0,0,3,63,.5
"30m",63,0,38,0,0,16,63,.5
"40m",98,0,1,0,0,3,63,.5
