"Nectar Plant Species",0-10m,10-20m,20-30m,30-40m,40-50m,50-60m,60-70m,70-80m,80-90m,90-100m
"common milkweed ramet",0,0,0,0,0,0,0,4,0,1
"swamp milkweed ramet",0,0,0,0,0,0,0,0,0,0
"butterfly milkweed ramet",0,0,0,0,0,0,0,0,0,0
"white clover",850,800,600,560,450,350,350,150,370,170
"alfalfa",23,23,23,59,25,70,23,65,230,65
"red clover",93,10,0,15,30,15,40,30,0,15
"golden alexanders",0,1,0,0,0,0,0,0,0,0
"foxglove beardtongue",0,3,0,0,2,0,2,0,3,0
"pale purple coneflower",0,0,1,0,1,0,0,0,0,0
"common dandelion",0,0,1,0,0,1,0,0,1,0
"wild parsnip",0,0,0,15,8,2,0,5,4,11
"ox eye sunflower",0,0,0,1,0,0,0,0,0,0
